id,origin,oname,name,type,requirements,summary,description
PDBB7WNV3B6U9I0D,Trade,Artisan,Craft Cloth or Leather Armor,short,"Artisan Kit, Materials",(Cloth/Leatherworking Only) Create a piece of cloth or leather armor.,"<p>If your specialization is in leatherworking or cloth work, you can craft one piece of non-magical leather or cloth armor. So long as you have relevant materials equal to &frac34; of the armor&rsquo;s cost, you can work on creating the item over the course of multiple rests. Each <em>Rest Action </em>you spend working on it, make an Intelligence (Craft) check against DC 10. Each success counts as 1 completed work session, a failure does not. Depending on the item&rsquo;s actual cost, it takes more work sessions to complete (see @Compendium[undertaking.tables.WS5UX4KFBB0PAZAE]{Craft Artisanal} table).</p>"
ENUO4SZEMU7GFGCJ,Trade,Botany,Find Herbs,short,None,Search the local area for any medicinal herbs that grow here.,"<p>Over the course of an hour, you can attempt to find herbs in a biome. Roll an Intelligence (Nature) check. Based on the result and environment, you find different results. If you get a high roll, you can choose to find a more common herb instead. <br />Certain biomes are harder to find herbs in. Those biomes have DC modifiers listed next to their names on the @Compendium[undertaking.tables.5R8FKYXDXRVWMOQD]{Ingredients - Herbs}  table.</p><p><em>Herb Finding Table</em></p><table><tbody><tr><td><p><strong>Ingredient</strong></p></td><td><p>Common Herb</p></td><td><p>Uncommon Herb</p></td><td><p>Rare Herb</p></td></tr><tr><td><p><strong>Finding DC</strong></p></td><td><p>DC 13</p></td><td><p>DC 15</p></td><td><p>DC 18</p></td></tr><tr><td><p><strong>Yield</strong></p></td><td><p>1d6-1 (Minimum of 1)</p></td><td><p>1d4</p></td><td><p>1</p></td></tr></tbody></table>"
J2Y3CB7LHPKSK7X3,Trade,Botany,Agriculture,short,"Botany Kit, Seeds",Plant the seeds of an herb for greater yields at a later date.,"<p>As a <em>Rest Action</em>, you can plant seeds in a 5 ft area of prepared soil. So long as it isn&rsquo;t dying, the plant grows over the course of months, but their output is greatly multiplied.<br />In their natural biome, plants survive so long as they are treated once a week. Outside of their natural biome, they generally survive so long as they are treated once a day, so long as they are shielded from the more extreme elements of the biome, such as heat or cold.</p><ul><li>Common Flora:&nbsp;</li><ul><li>Yield: x20 per 5ft.</li><li>Harvest Period: 1 month.</li></ul><li>Uncommon Flora:&nbsp;</li><ul><li>Yield: x10 per 5ft.</li><li>Harvest Period: 2 months.</li></ul><li>Rare Flora:&nbsp;</li><ul><li>Yield x5 per 5ft.</li><li>Harvest Period: 3 months.</li></ul></ul>"
7FXC64HI7DZJACFX,Trade,Botany,Treat Plant,short,"Botany Kit, Water","Tend to a plant, ensuring it remains healthy and continues to grow.","<p>As a <em>Rest Action</em>, you can treat up to a 10 ft area worth of plants, watering and trimming them, and keeping their soil clean and pest-free. This process uses up a pint of water per 5 ft area. <br />If used on a plant creature, it restores 1d6 additional hit points as part of the rest, but uses up 4 pints of water.</p>"
UBA9SUCWV5SKMGZN,Trade,Building,Fortify Structure,short,"Building Kit, Materials",Repair a structure and make it more resistant to destruction.,"<p>So long as you have relevant materials, you can reinforce a structure against damage at a rate of 10sqft per minute. Each <em>Rest Action</em> you spend working on it, make an Intelligence (Craft) check.</p><ul><li>If the structure has hit points, restore them by the result of the check - 10.</li><li>If the structure has a DC to destroy it, take the result of the check - 5. If that is higher than the DC, that becomes the new DC to destroy it.</li></ul>"
ZAFKE13RG0V931GM,Trade,Cooking,Prepare Rations,short,"Cooking Kit, Food (up to 3lbs)","Prepare food to last longer without spoiling, making suitable rations.","<p>As a <em>Rest Action</em>, you can dry and store food, turning up to up to 3 pounds of food into 3 days of rations. Food lasts significantly longer as rations, but any benefits granted by the food beyond sustenance are removed upon becoming rations.</p>"
4GMFZHR88TQNNXQV,Trade,Cooking,Brew Alcohol,short,"Cooking Kit, Supplies",Prepare a new batch of or continue refining a fermenting beverage.,"<p>Provided you have access to sufficient supplies, you can brew alcohol over the course of multiple long rests. You can work on the brew over a <em>Rest Action</em>, but no more than once per completed long rest. Each <em>Rest Action </em>you spend working on it, make an Intelligence (Craft) check against DC 15. Each success improves the quality of the brew as shown in the table below. Regardless of the quality, the batch is completed after 5 rests spent working on it, and will brew enough for three full servings. A serving takes a <em>Rest Action</em> to consume and gain all the benefits.</p><ul><li>Further fermenting past its completion may improve the flavor or alcohol levels, but it can no longer be worked to gain additional effects.</li><li>Larger brewing containers are generally too cumbersome for traveling kits, but can be used to make larger batches if that is not a concern.</li><li>Forcing a serving down in a shorter time than a <em>Rest Action</em>, no faster than an action, reduces the effects granted by the brew by 2 success levels. So if it was a 3 success level brew, then you would only gain the benefits of a 1 success level brew.</li></ul><p><em>Brewing Table</em></p><table><tbody><tr><td><p><strong>Successes</strong></p></td><td><p>0</p></td><td><p>1</p></td><td><p>2</p></td><td><p>3</p></td><td><p>4</p></td><td><p>5</p></td></tr><tr><td><p><strong>Effect</strong></p></td><td><p>Counts as a meal</p></td><td><p>Also gain 1d4 temporary hit points</p></td><td><p>Also remove the Frightened condition and gain advantage on Save Checks against the Frightened condition for the next hour</p></td><td><p>Also regain an extra Rest Die</p></td><td><p>Also gain 1d10+2 temporary hit points, stacking on top of any previous temporary hit points</p></td><td><p>Also gain +1 on all saving throws until your next long rest</p></td></tr></tbody></table>"
NG9VZ9LY8VNJO1J8,Trade,Entertainment,Tonight's Entertainment,short,Your Instrument of Entertainment,Perform for a group to chase their worries away for a bit.,"<p>As a <em>Rest Action</em>, you can put on a performance to get your mind off of things. When you do, choose to either add a +1 to all skill checks made during this rest (aside from this one) or, before your next rest, add a +1 to a single check&rsquo;s final result. <br />In addition, make a Presence (Perform) check. Take the result divided by 5 and rounded down. Choose that many other creatures resting nearby to gain the same choice of entertainment bonus. <br />Should you roll a Natural 20 on, all creatures gain both bonuses. In addition, choose one member of the rest, other than yourself, to gain a point of Luck.</p>"
94MZBFDRNWJSYBDS,Trade,Fishing,Fashion a Rod,short,"Branch or Pole, 10ft of Rope or String",Create a makeshift fishing rod from available materials.,"<p>As a <em>Rest Action</em>, you can create a Poor Fishing Rod using any wooden branch or pole and 10ft of either rope or string.</p>"
K9GM2TADYHZ4T8AM,Trade,Fishing,Fashion a Net,long,50ft of Rope,Create a makeshift fishing net from available materials.,"<p>As a <em>Long Rest Action</em>, you can weave and tie 50ft of rope into a Net suitable for fishing.</p>"
ZI2EQRKJRDGD2ORL,Trade,Fishing,Gather Bait,short,None,Collect tiny creatures suitable for use as fishing bait.,"<p>As a <em>Rest Action</em> in any location with vegetation, you can search for insects and invertebrates that are suitable for use as fishing bait. Make an Intelligence (Nature) check against DC 8. On a success, you find 1d4 Fishing Bait. You find 1 additional piece of Fishing Bait for every 3 your roll exceeds the DC by.</p>"
AMM09XWOSJMMTTOC,Trade,Fishing,Set a Trap,long,"Net or Cage, Bait (1-3 pieces)",Bait a net or cage to catch a large number of fish at once.,"<p>As a <em>Long Rest Action</em> within a short walk of a body of water or liquid, you can use up to 3 pieces of Fishing Bait (which are consumed) and either a net or small cage in order to catch multiple fish. If the body of water you set the trap in contains fish, you are able to attract 1d4 fish for each piece of bait you used. When hauling in the trap, you capture all of the fish that were attracted with a successful Strength (Athletics) or Wisdom (Instinct) check against DC 12. On a failure, you only catch half of the fish and the rest escape. Each fish you catch can be cooked to feed one creature.</p>"
USTIA263R3MUVFS1,Trade,Fishing,Prize Fishing,short,"Fishing Rod (any), Bait (1 piece)",Cast a line and try to reel in an impressive catch.,"<p>As a <em>Rest Action</em> next to a body of water or liquid, or a <em>Long Rest Action</em> within a short walk from one, you can attempt to catch an exceptional fish. In order to fish in this way, you need to be holding a fishing rod and expend one piece of fishing bait. Each use of this action is resolved in the following steps:</p><ul><li><em>Gear Up: Your current fishing score for this attempt starts equal to the base fishing score of the rod you are using.</em></li><li><em>Pick a Spot</em>: Increase your current fishing score by 1d4.</li><li>Cast Your Line: Make a Strength (Athletics) check against DC 12. On a success, increase your current fishing score by 1. On a failure, decrease it by 1 instead.</li><li><em>Settle In</em>: Choose any prize level from the prize fishing table below to be your target prize level. This choice determines the final fishing score you will need in order to catch the fish, and what results a success will yield.</li><li><em>Something&rsquo;s Nibbling</em>: Roll 1d6 and add it to your current fishing score. You can now choose to shift your target prize level up or down by 1. You cannot change it after this step.</li><li><em>Reel It In</em>: Roll 1d8 and add it to your current fishing score. If your final fishing score meets or exceeds the fishing score needed for your target prize level, you successfully reel in the result for that prize level. Otherwise, the fish gets away with your bait.</li></ul><p><em>Prize Fishing Table</em></p><table><tbody><tr><th style=""min-width: 10vmin;""><p>Prize Level</p></th><th style=""min-width: 10vmin;""><p>Fishing Score Needed</p></th><th><p>Result on a Successful Catch</p></th></tr><tr><td><p>1</p></td><td><p>0</p></td><td><p><strong>Nothing&rsquo;s Biting.</strong> You get your piece of fishing bait back.</p></td></tr><tr><td><p>2</p></td><td><p>6</p></td><td><p><strong>Just a Fish.</strong> You catch a common fish that can feed a single creature if cooked. Sells for 1sp.</p></td></tr><tr><td><p>3</p></td><td><p>9</p></td><td><p><strong>That&rsquo;s a Big One.</strong> You catch an impressively large fish, with enough meat to feed 5 creatures if cooked. Sells for 1gp.</p></td></tr><tr><td><p>4</p></td><td><p>12</p></td><td><p><strong>Hearty Morsel.</strong> You catch a hearty and flavorful fish, large enough to feed 3 creatures if cooked. Any creature that gets a full meal from this fish has advantage on the first save check it makes before its next long rest. Sells for 3gp.</p></td></tr><tr><td><p>5</p></td><td><p>14</p></td><td><p><strong>Rare Delicacy.</strong> You catch a rare fish prized for its unique and memorable flavor. One creature can eat the fish in order to gain a full meal and a +1 to its proficiency bonus until its next long rest. Sells for 10gp.</p></td></tr><tr><td><p>6</p></td><td><p>16</p></td><td><p><strong>One of a Kind.</strong> You catch a strange fish with useful magical properties. Roll 1d20. The fish can be used in alchemy as a Beast monster part with a CR equal to the number rolled (minimum of 5). If cooked, one creature can eat the fish in order to get a full meal, the bonuses of both above fish, and their hit point maximum increases by 5 until their next long rest. Sells for 20gp.</p></td></tr><tr><td><p>7</p></td><td><p>18</p></td><td><p><strong>Legendary Catch.</strong> You catch a fish of legends, imbued with supernatural power. When eaten, the fish imbues the consumer with temporary magical capabilities. They temporarily gain access to a spell of their choice of a level equal to 1/5th their overall level. They can cast it once per long rest without expending mana. Intelligence, Wisdom, or Presence is their spellcasting attribute for this spell. The magic fades after 1 year or upon eating another Legendary Catch. Sells for 50gp.</p></td></tr></tbody></table>"
7PJSDKWR301BX7EA,Trade,Pathfinding,Explore Area,short,Pathfinding Kit,Search the local area for something in particular.,"<p>As a <em>Rest Action</em>, you can explore the 3-mile terrain you were in when you started this rest. Doing so allows you to do one of the following&mdash;two, if using a <em>Long Rest Action</em>:</p><ul><li><em>Recon:</em> Learn if the area openly contains a certain creature type or species, a type of structure or ruin, a type of business or service, the presence of a certain group or power, the availability of an item or equipment for trade, or the ready availability of food or water.</li><li><em>Track:</em> Select a specific creature you know to have been in the environment within the past week and make a Wisdom (Investigation) check to try and determine the creature&rsquo;s direction. If you beat the DC by 5 or more, you also find a clue about the creature, such as if it&rsquo;s injured, if it&rsquo;s been here often, if it&rsquo;s dropped a clue, etc.</li><li><em>Gossip</em>: While resting in a settlement, learn of a local rumor or relevant job posting.</li><li><em>Scout</em>: Reveal an inconspicuous aspect of the surrounding environment or culture as determined by the DM. You can&rsquo;t direct what you&rsquo;ll find, but you&rsquo;ll always find something, even if just a few extra coins. For example, a hidden dungeon entrance, a back entrance to a notable structure, a hidden or lost treasure, a creature or group notable or unique to the area, a local creature nest, a surprising food or water source, a cultural practice or expectation you had yet to learn, an event in motion, or simply an item or coin purse left forgotten for you to pocket.</li><li><em>Reveal</em>: If you have a hunch that a certain something is hidden in this environment, such as a hidden entrance, invisible object, or illusive creature, you can make a Wisdom (Investigation) check to learn the location or general location of it or its last location. You do not learn that it is not here if you fail the check. DC depends on the environment&rsquo;s density, the size of the target, and if it&rsquo;s in motion.</li><li><em>Scour</em>: Obtain enough food to feed yourself tonight, if any exist in the environment.</li></ul>"
KRF8A9MO5DQ6LJ4F,Trade,Pathfinding,Create Pathfinder's Guide,long,"Pathfinding Kit, Empty Book or Paper",Create a new guidebook with helpful wilderness information.,"<p>As a <em>Long Rest Action</em>, you can turn a book or unfilled paper into a Pathfinder&rsquo;s Guide, adding one chapter to it in the process. <br />Any creature that can read the Pathfinder&rsquo;s Guide can study up to 3 chapters of it as a short rest, gaining each chapter&rsquo;s benefits until their next rest. Bonuses from chapters cannot be stacked, and each physical chapter can only be studied by one creature per rest.</p><p>See @Compendium[undertaking.rest-actions.1HMFWYGIRHKP1PBG]{Expand Pathfinder's Guide} for possible chapters you can add.</p>"
1HMFWYGIRHKP1PBG,Trade,Pathfinding,Expand Pathfinder's Guide,long,"Pathfinding Kit, Pathfinder's Guide",Add a new chapter to an existing wilderness guidebook.,"<p>With a Pathfinder&rsquo;s Guide in hand, you can add additional chapters to it as a <em>Long Rest Action</em>, each chapter taking up one sheet of paper (or two pages) each:&nbsp;</p><ul><li><strong>Geographical Map:</strong> You calligraph a simple map of the area most fitting to a 6-mile diameter.<ul><li><em>Requirement:</em> Use <em>Explore Area</em> to learn at least three aspects about the area.</li><li><em>Effect:</em> While traveling, you move through this area in half the time.</li></ul></li><li><strong>Notated Map:</strong> You update your Geographical Map to notate local resources and landmarks.</li><ul><li><em>Requirements:</em></li><ul><li>Have a Geographical Map of the area.</li><li>Use <em>Explore Area</em> to learn at least five aspects about the area.</li></ul><li><em>Effect: </em>While in the area of the map, you have a +2 to finding natural resources and notable unnatural landmarks in the area.</li></ul><li><strong>Flora Guide:</strong> You press the flora into the book, supplementing it with additional sketches and notes about prime spots for it to grow.<ul><li><em>Requirement:</em> One of the flora from the area in question, pressed into the page when you create this chapter.</li><li><em>Effect: </em>You have a +2 to skill checks to find a specific type of flora again.</li></ul></li><li><strong>Fauna Guide:</strong> You sketch the creature and add notable observations about its biology and behavior.<ul><li><em>Requirement:</em> Succeed on a DC 15 Intelligence (Investigation) or Wisdom (Instinct) check toward a creature you can see within 15 ft of you. Upon failure, you cannot try again for the next 1 hour.</li><li><em>Effect:</em> You have a +2 to uncontested skill checks against the creature.<ul><li>Fauna Guides cannot be made for societal creatures, such as player races (humans, zhier, chk&rsquo;tu, etc.).</li></ul></li></ul></li><li><strong>Hunting Guide:</strong> You add more details to the creature sketch, highlighting weak points and noting useful hunting tactics.</li><ul><li><em>Requirements:</em></li><ul><li>Have a <em>Fauna Guide</em> for the creature.</li><li>You must have slain or defeated a creature of this type at least once.</li></ul><li><em>Effect:</em> You have a +1 to attack rolls and damage against a creature, and +2 to checks to harvest anything from it or its corpse.<ul><li>Making a Hunting Guide for societal creatures, such as player races (humans, zhier, chk&rsquo;tu, etc.), grants no bonus to attack or damage.</li></ul></li></ul><li><strong>Star Chart:</strong> You chart the stars, noting the directions and angles based on the changing seasons.<ul><li><em>Requirement:</em> View the stars at night in the area at least once.</li><li><em>Effect: While you can see the stars at night, you have both a +2 to checks to navigate and a +1 to Wisdom (Save) checks.</em></li></ul></li></ul>"
HF8I51IUJOKOO61A,Trade,Smithing,Forge Metalwork,short,"Smithing Kit, Materials, Forge (optional)","Forge armor, a weapon, or another metallic item.","<p>You can create one non-magical armor, weapon, or metalcraft. So long as you have relevant materials equal to &frac34; of the item&rsquo;s cost, you can work on creating the item over the course of short or long rests. Each <em>Rest Action</em> you spend working on it, make an Intelligence (Craft) check against DC 8. Each success counts as 1 completed work session, a failure does not. Depending on the item&rsquo;s actual cost, it takes more work sessions to complete, as determined by the <em>Forging Table</em> below.</p><ul><li>If you do not have access to a furnace or some similarly hot heat source, increase the DC to 16.</li></ul><p><em>Forging Table</em></p><table><tbody><tr><td><p><strong>Item Cost</strong></p></td><td><p>1sp or less</p></td><td><p>1gp or less</p></td><td><p>5gp or less</p></td><td><p>10gp or less</p></td><td><p>15gp or less</p></td><td><p>20gp or less</p></td><td><p>etc.</p></td></tr><tr><td><p><strong>Sessions</strong></p></td><td><p>&frac14;</p></td><td><p>1</p></td><td><p>1 &amp; &frac12;&nbsp;</p></td><td><p>2</p></td><td><p>2 &amp; &frac12;&nbsp;</p></td><td><p>3</p></td><td><p>etc.</p></td></tr></tbody></table>"
